,clean_text
0,jeromemounsey Hickson1Chris Gibson Park Lowe Aki â€™ citizenship small pool player would wonder England France massive pool need
1,Gibson-Park named Guinness Player Match crucial win England SixNations
2,RyanSays1984 penalty Itoje grabbing Gibson-Park â€™ hand previous ruck one right decision sure
3,Goh3000 Gibson park well able box kick actually competently foot â€™ reason since JGP starting Ireland evolved world class side
4,stephenjones9 Randall Gibson park identical tap pen created Irish try
5,ENGvIRE Gibson-Park MoM Eng matched Ire whilst played kicking competitive Ire started pulling away came Itoje Genge Lowe Conway van de flier would n't even make top 10 today Someone tell
6,RonanOGara10 Keenan Best Irish player country mile Gibson park got motm beyond Murray Henshaw made massive difference introduced
7,Definitely error Scrum need particular attention wonderful win England Conan `` great get across whitewash '' Congrats Gibson-Park Hugo Keenan man match Another immense serving country Roll Scotland ğŸ‘ğŸ‘ğŸ‡®ğŸ‡ªğŸ‡®ğŸ‡ª
8,Jamison Gibson-Park Man Match 's king quick tap-and-go quick thinking vital setting Hugo Keenan 's try Brought ChicagoTownIre SIXNATIONSRUGBY ENGvIRE
9,threeredkings Gibson Park get man match Murray make much impact Lowe 100 man match outstanding Experience Subs game
10,Irelands scrum need hell lot better next week Gibson-Park getting MOTM strange call lot issue half back .... bonus point Twickenham ... chef 's kiss moment like ENGvIRE GuinnessSixNations
11,poor Irish performance ultimately enough 14 man England Gibson Park man match Really EllisGenge maroitoje ğŸ¤”
12,PaulMorganrugby played world better Gibson Park
13,Great result bonus point IrishRugby really well played Gibson Park Henshaw ğŸ’ªğŸ™Œ IREvEng
14,Really bizarre Gibson-Park got MoTM Thought butchered Ireland â€™ chance get ahead 9 â€™ even best Irish scrum half match ENGvIRE
15,AnMailleach SportsfanIre Thanks telling u Munster fan Gibson Park excellent essential Irelands game plan Murray good closing game showed
16,Oh left late ğŸ˜… Great performance England 14 ran steam u job done bonus try Yeow Itv give motm Gibson park Keenan Roll Scotland
17,EnglandRugby Proud English performance Score line â€™ reflect match Dallaglio â€™ comment Gibson park MOTM bullshit Itoje Genge Nowell immense
18,Good win Ireland good performance Gibson-Park given MOTM felt Murray controlled game better came helped team make better attacking decision Ireland 's fresh leg game end ENGvIRE
19,Gender neutral language important many area life â€™ issue Man Match men playing Well least suppose â€™ Americanised yet MVP Well played Jamison Gibson-Park ENGvIRE
20,SportsfanIre thought ball speed much better breakdown Gibson-Park slow predictable today Murray slowed control
21,England pack defence incredible Lowe Keenan Gibson-Park excellent made difference end ENGvIRE
22,BillNeelyReport absolute classic match England magnificent playing 78 min 14 player Ireland showed class resilience Gibson-Park worthy MOTM Sets fascinating final weekend ENGvIRE
23,Jamison Gibson-Park perform better Ellis Genge end ENGvIRE
24,Gibson Park great match Hugo Keenan far man match ENGvIRE
25,game Lawrence watching great England performer Itjoe Simmonds Nowell way Gibson Park mom Suppose â€™ give Smith panic ENGvIRE
26,NeilDrysdale thought Gibson-Park class today
27,game rugby Ireland victorious end Englang certainly put 14 men Man match Gibson-Park Let 's go Ireland .... ENGvIRE
28,Dallaglio mindâ€¦Gibson Park Wtf ENGvIRE
29,giving Gibson-Park MOTM
30,Dildo â€™ player match Gibson-Park Possibly biggest trolling Johnny Sexton history rugby football
31,jamison gibson park â€™ deserve girl game tempo irish referee ENGvIRE
32,ITV tf Gibson park man match ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚
33,Genge everyone â€™ motm Gibson park average- Randall clear ENGvIRE
34,DBGyt_ Mick n't watching gibson-park masterclass
35,threeredkings Gibson park unreal today aswell
36,Gibson park never put green jersey
37,EnglandRugby Gibson-park 2 rush blood head Quick tap cost u 2 scorable pen second half Score 15-21 Bring Murray
38,BillNeelyReport jamesmatesitv LukeHanrahan Gibson Park still kn pitch Murray bench
39,gibson park take another quick tap 're gon na lose game ENGvIRE
40,love IrishRugby 's Jameson Gibson-Park taking quick penalty keep match moving
41,Two penalty fucked Gibson park running Great u score 6 point gone begging IREvEng ENGvIRE
42,Jamison Gibson Park seriously stop quick tap ENGvIRE SixNations
43,Gibson-Park sharpest man pitch today ğŸ‘Œ ENGvIRE
44,Check Hugo Keenan â€™ starting position second Ireland win penalty Makes huge ground Jamison Gibson-Park several option including Sexton delay pas time Keenan arrive late Savage work-rate Brilliant vision Great try
45,RT willgkelleher Raynal place Gibson-Park tapped ball least metre away mark ENGvIRE SixNaâ€¦
46,Absolutely brutal physicality team going half-time Great thinking Caelan Doris dive ball pop back Gibson-Park quick tap Great line Keenan finish ENGvIRE SixNations
47,hand Gibson-Park quick decision hit man momentum unstoppable try
