,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,favourite_count,retweet_count,created_at,location,text,sentiment,clean_text,0xapes_nft,460,4k,8pm,actuallyfamicom,adventure,agree,alive,also,amanda,amazing,amp,anyone,apparently,artpaysme,as,asked,atlanta,awake,awtroon,azure,back,bacon,baking,bath,bayc,beans,bear,beat,bernie,birthday,blueberry,boredapeyc,bout,brain,breakfast,breaking,brunch,celebration,chair,chicken,cinnamon,clean,coffee,combined,congrats,cooking,could,cowboy,cream,creature,crookedintriago,day,dimitri,done,downtown,drinking,drizzling,drop,eat,eating,el,enough,equips,essential,even,ever,everyone,evidence,excited,failed,floor,flying,francis,free,fresh,friend,fruit,fucked,fun,get,go,going,good,got,great,gretchen,group,guy,happens,happy,hat,helmet,hey,high,hitting,homemade,honestly,hookah,hope,house,hustle,ig,imagine,inflated,innocent,iwdparkrun,iykyk,johndenver,joojo_dontoh,joy,joyyilyok,karenfthompson,kind,kitchen,knock,know,learning,lemon,like,listening,little,lmao,love,lovely_coron,lucky,lulueter,mad,magic,make,maple,medication,mind,moon,morning,mr,much,music,mvp,nasty,nateinsports,near,need,nest,new,nice,okay,onto,outshine,pacer,pancake,pancaked,pancakeday,pancakes,pancakesquad,parkrun,parkrunners,particularly,pay,peace,perfectly,poe,pour,pouring,price,projectrxnegade,raveenthedream,real,really,realmfullam,recruit,refreshment,resident,rest,retweet,right,roll,rt,rumour,said,saturday,saturdaymorning,saw,say,school,sef,send,shit,shrovetuesday,side,since,skill,slaughter,slowly,smoke,soppose,sort,sound,spot,squash,standing,start,strawberry,stream,style,syrup,take,thank,thealexnevil,time,tired,topping,town,travelgburg,turned,unto,upscaling,visitmysmokies,volunteer,waffle,want,wanted,watch,well,whipped,winston_ape,wish,without,wobbl,woke,wonder,would,wranthorn,ww2,ydk,zivitxh,zugumnan600,vader_pos,vader_neg,vader_neu,vader_comp
0,0,0,0,0,0,2022-03-05 12:49:42+00:00,"Dundee, Scotland",Wish I could stream myself eating pancakes,Positive,Wish could stream eating pancake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4492759856623854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5050065982451893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1818133545522927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5050065982451893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5050065982451893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.403,0.0,0.597,0.4019
1,1,1,1,0,0,2022-03-05 12:49:26+00:00,🦇they/he + neos 🐴he/xe/them,these lemon pancakes are not hitting the spot at all this shit is nasty 😭 -🐴,Negative,lemon pancake hitting spot shit nasty 😭 -🐴,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4507852642543291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4507852642543291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4507852642543291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1622924955072149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.401038312417479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4507852642543291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.534,0.466,-0.8834
2,2,2,2,1,0,2022-03-05 12:49:01+00:00,Unceded Mi’kmaq territory,"Everyone is alive and awake. I’m baking cinnamon rolls in hopes the rumours will get back to school and outshine @artpaysme’s homemade pancakes. 

And drinking coffee like it’s my side hustle. https://t.co/4BhFzpGDqZ",Positive,Everyone alive awake ’ baking cinnamon roll hope rumour get back school outshine artpaysme ’ homemade pancake drinking coffee like ’ side hustle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2352404194096598,0.0,0.0,0.0,0.0,0.0,0.0,0.2352404194096598,0.0,0.0,0.0,0.2352404194096598,0.0,0.0,0.2352404194096598,0.0,0.2352404194096598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2352404194096598,0.0,0.2352404194096598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2352404194096598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2352404194096598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1908610953741461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2092801790415312,0.0,0.0,0.2352404194096598,0.0,0.2352404194096598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1649008550060176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2352404194096598,0.0,0.0846916652728426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2352404194096598,0.0,0.2352404194096598,0.0,0.0,0.0,0.0,0.0,0.2352404194096598,0.0,0.0,0.0,0.0,0.2352404194096598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.286,0.0,0.714,0.7906
3,3,3,3,0,0,2022-03-05 12:49:00+00:00,"Connecticut, USA","This morning Gretchen woke up and turned to me all excited and said, “ I got pancakes!”",Positive,morning Gretchen woke turned excited said “ got pancake ”,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3433779923826778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3859724476254303,0.0,0.3859724476254303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3433779923826778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1389584724464678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3859724476254303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3859724476254303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3859724476254303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.211,0.0,0.789,0.34
4,4,4,5,0,73,2022-03-05 12:47:48+00:00,Ireland,"RT @Joojo_Dontoh: It’s a Saturday. Take a bath, eat some pancakes and rest. Peace be unto you. ✌🏾 https://t.co/8iWuh4YE9e",Positive,RT Joojo_Dontoh ’ Saturday Take bath eat pancake rest Peace unto ✌🏾,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3648774669843517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.296041442200887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3648774669843517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1313638207965738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3246109737873127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3648774669843517,0.0,0.0,0.0,0.215508455806809,0.0,0.0,0.3246109737873127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3246109737873127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3648774669843517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.324,0.0,0.676,0.7717
5,5,5,6,0,0,2022-03-05 12:47:44+00:00,,"Mr Bear &amp; Poe say that it is perfectly okay to take any sort of medication, even the kinds for your brain. Pancakes says all medication should be free!",Positive,Mr Bear amp Poe say perfectly okay take sort medication even kind brain Pancakes say medication free,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2249484512191005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2249484512191005,0.0,0.0,0.0,0.0,0.0,0.0,0.2249484512191005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2001239934208149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2249484512191005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2001239934208149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.449896902438201,0.0,0.0,0.0,0.2249484512191005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2249484512191005,0.0,0.0,0.0,0.0,0.0,0.0,0.1400730694034068,0.0,0.0,0.0,0.0,0.0,0.0,0.2249484512191005,0.2249484512191005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.449896902438201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2249484512191005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2001239934208149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.0,0.504,0.9153
6,6,6,8,0,0,2022-03-05 12:47:00+00:00,"Amsterdam, Nederland",@zugumnan600 @joyyilyok Joy is the real MVP. She soppose send me pancakes sef,Positive,zugumnan600 joyyilyok Joy real MVP soppose send pancake sef,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3553102635244626,0.3553102635244626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3553102635244626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1279194195535584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3160995706107796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3553102635244626,0.3553102635244626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3553102635244626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3553102635244626,0.322,0.0,0.678,0.5859
7,7,7,9,0,1674,2022-03-05 12:46:45+00:00,,"RT @RaveenTheDream: I’m honestly tired of Atlanta style brunch. I’ve really had enough.
I need peace and pancakes.

The hookah smoke, wobbl…",Negative,RT RaveenTheDream ’ honestly tired Atlanta style brunch ’ really enough need peace pancake hookah smoke wobbl…,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2766974950067043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2766974950067043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2766974950067043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2766974950067043,0.2766974950067043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2766974950067043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.099617113792561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2461622090313633,0.0,0.0,0.0,0.0,0.0,0.0,0.2766974950067043,0.0,0.2461622090313633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1634265068965314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2766974950067043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2766974950067043,0.0,0.0,0.0,0.0,0.0,0.2766974950067043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2766974950067043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.286,0.123,0.592,0.5945
